,_id,Datetime,Tweet Id,Text,Username
26,6402fef06eb880dac6b5bbad,1675382384000,1621297347698327564,"@elonmusk @TitterTakeover @Twitter Yeah, but you still have some scum in the filters.
And some grifters in the ear.",TrueLaserak
27,6402fef06eb880dac6b5bbae,1675382384000,1621297347450773504,@Project_Veritas @elonmusk Stop appealing to Elon. He's a part of the problem. Haven't you been paying attention?,jSonPlaysGames
28,6402fef06eb880dac6b5bbaf,1675382383000,1621297343848124420,@Project_Veritas @elonmusk Damn Chinese spy balloon,kcmomo12
29,6402fef06eb880dac6b5bbb0,1675382383000,1621297341490667522,@npcvernon I love twitter and i love elon musk,GlRLFRONT
30,6402fef06eb880dac6b5bbb1,1675382382000,1621297339200593922,"@elonmusk @BillyM2k @ericnakagawa This is your biggest miss yet, impressive mastery of the unforced error",NYNightTrain
31,6402fef06eb880dac6b5bbb2,1675382382000,1621297339196477441,@VlRG9 @tap4president_ @elonmusk ja je kk vader elon,klaverisdenaam
32,6402fef06eb880dac6b5bbb3,1675382382000,1621297337686523904,@Project_Veritas @elonmusk New Twitter is as bad as old Twitter. #pfertility,JosephRBr4ndon
33,6402fef06eb880dac6b5bbb4,1675382380000,1621297330765942784,@theserfstv @elonmusk @ElijahSchaffer Maybe because the “major medical associations” are making loads of money out of it. Transgenderism is just another ponzi scheme - but abusing kids instead of real estate.,dazzah9000
34,6402fef06eb880dac6b5bbb5,1675382380000,1621297329222606849,Elon Musk killed all the good bots on Twitter - Quartz https://t.co/IGPX8RAEiU,brontyman
35,6402fef06eb880dac6b5bbb6,1675382380000,1621297329113276416,@makedonien_mk @PallasGlaux @Tutunarot1 @G7uQ40F6VP1Rv2U @IoannisKapo1 @TheRisingFinix @Chigeorge72 @eftimia60 @JordanTviterka @theoperi @vladegv @GrecoStrategos @MAKEDONMMA @_kavla1_ @max_zek_x @bigjohn53979259 @Aretitheta @TreloKomio5 @Ar_MA_ge_don @SrebreniKopja @OKOTOnaSE @panbog2 @YiosDia @Alexand45539671 @mmamakedonia @BasilesNikolaou @MakedonPaeon @THE_GREEK_007 @lolita194636511 @Darnakas3 @_Makedonuts_ @AITWLOS @andros_sk_mari @dokurcev @PegoEmpresa @APsilos @basedfootball_ @dondon90820793 @xKilluminatix_ @orguel1984 @Okurcan3 @mkdalex_mk @IamHellenic @DOOM90129835 @oc1hr9id47 @RDOOM85831413 @lilaposer1261 @_Jan_____ @BiblioStrumski @elonmusk A lanquage are not the words= stupid to claim this https://t.co/oN4VPbZDbp,Helena_Erben
36,6402fef06eb880dac6b5bbb7,1675382379000,1621297328295448576,"@elonmusk @TitterTakeover @Twitter I will pay 3.14 picoin
For π tesla phone 📱",haskoo17
37,6402fef06eb880dac6b5bbb8,1675382379000,1621297327947534336,"@MinionDeFerro @0x_flea @BillyM2k @elonmusk @atensnut You don't need to choose another line.
What you need to do is give me a verifiable citation from an accredited scientific source that says empirical evidence is what you say it is.
If you're not lying it should have been easy.
So let's see it 
Quit dodging and deflecting.",squirrel_bd
